RmsId,AssetId,IssuerId,ISIN,IssuerName,AssetName,IssueDate,AbbrevName
319,1663,8443,FR0010306787,BNP Paribas,BNP 5.945 04/29/49 GBP,2006-04-19,BNP Paribas
319,2329,8443,XS0405664813,BNP Paribas,FIXED 4.25 2014-01-16,2009-01-16,BNP Paribas
319,2621,8443,FR0010239319,BNP Paribas,FIXED 4.875 2099-12-31,2005-10-17,BNP Paribas
319,114118,8443,XS0635033631,BNP Paribas,BNP 4 1/8 01/14/22 EUR,2011-06-14,BNP Paribas
319,114116,8443,XS0606704558,BNP Paribas,BNP 4 1/2 03/21/23 EUR,2011-03-21,BNP Paribas
319,114148,8443,XS0847433561,BNP Paribas,BNP 2 7/8 10/24/22 EUR,2012-10-24,BNP Paribas
319,114159,8443,XS0895249620,BNP Paribas,BNP 2 7/8 09/26/23 EUR,2013-02-26,BNP Paribas
319,114249,8443,XS1345331299,BNP Paribas,BNP 1 1/8 01/15/23 EUR,2016-01-15,BNP Paribas
319,114260,8443,XS1394103789,BNP Paribas,BNP 0 3/4 11/11/22 EUR,2016-04-12,BNP Paribas
319,114289,8443,XS1527753187,BNP Paribas,BNP 0 1/2 06/01/22 EUR,2016-12-01,BNP Paribas
319,114293,8443,XS1547407830,BNP Paribas,BNP 1 1/8 10/10/23 EUR,2017-01-10,BNP Paribas
319,114350,8443,XS1823532640,BNP Paribas,BNP 1 1/8 11/22/23 EUR,2018-05-22,BNP Paribas
319,115895,8443,US05565ASK06,BNP Paribas,"BNP 4 5/8 PERP,144 USD",2021-02-25,BNP Paribas
319,119102,8443,XS1808338542,BNP Paribas,BNP 1 04/17/24 EUR,2018-04-17,BNP Paribas
319,120329,8443,XS1068871448,BNP Paribas,BNP 2 3/8 05/20/24 EUR,2014-05-20,BNP Paribas
319,122001,8443,XS1637277572,BNP Paribas,BNP 1 06/27/24 EUR,2017-06-27,BNP Paribas
319,123450,8443,FR0013434776,BNP Paribas,BNP 0 1/2 07/15/25 EUR,2019-07-15,BNP Paribas
319,124660,8443,FR0013405537,BNP Paribas,BNP 1 1/8 08/28/24 EUR,2019-02-28,BNP Paribas
319,129965,8443,XS1023684522,BNP Paribas,BNP 2 7/8 12/20/24 EUR,2014-01-29,BNP Paribas
319,133975,8443,XS1793252419,BNP Paribas,BNP 1 1/4 03/19/25 EUR,2018-03-19,BNP Paribas
319,138629,8443,FR0013465358,BNP Paribas,BNP 0 1/2 06/04/26 EUR,2019-12-04,BNP Paribas
319,148163,8443,XS1614416193,BNP Paribas,BNP 1 1/2 11/17/25 EUR,2017-05-17,BNP Paribas
319,149758,8443,FR0013398070,BNP Paribas,BNP 2 1/8 01/23/27 EUR,2019-01-23,BNP Paribas
319,150478,8443,XS1369250755,BNP Paribas,BNP 1 5/8 02/23/26 EUR,2016-02-23,BNP Paribas
319,151609,8443,USF1R15XK938,BNP Paribas,BNP 6 5/8 PERP USD,2019-03-25,BNP Paribas
319,152607,8443,FR0014002X43,BNP Paribas,BNP 0 1/4 04/13/27 EUR,2021-04-13,BNP Paribas
319,154108,8443,XS1748456974,BNP Paribas,BNP 1 1/8 06/11/26 EUR,2018-01-11,BNP Paribas
319,155060,8443,USF1067PAE63,BNP Paribas,BNP 8 1/2 PERP USD,2023-08-14,BNP Paribas
319,155314,8443,USF1R15XK854,BNP Paribas,BNP 7 PERP USD,2018-08-16,BNP Paribas
319,156181,8443,FR0013444759,BNP Paribas,BNP 0 1/8 09/04/26 EUR,2019-09-04,BNP Paribas
319,158989,8443,FR00140005J1,BNP Paribas,BNP 0 3/8 10/14/27 EUR,2020-10-14,BNP Paribas
319,159152,8443,US05565AS207,BNP Paribas,"BNP 9 1/4 PERP,144 USD",2022-11-17,BNP Paribas
319,159153,8443,US05565AM341,BNP Paribas,"BNP 7 3/4 PERP,144 USD",2022-08-16,BNP Paribas
319,159154,8443,US05565ALQ49,BNP Paribas,"BNP 4 1/2 PERP,144 USD",2020-02-25,BNP Paribas
319,159155,8443,US05565AHN63,BNP Paribas,"BNP 6 5/8 PERP,144 USD",2019-03-25,BNP Paribas
319,159156,8443,US05565AGF49,BNP Paribas,"BNP 7 PERP,144 USD",2018-08-16,BNP Paribas
319,159157,8443,US05565ADW09,BNP Paribas,"BNP 5 1/8 PERP,144 USD",2017-11-15,BNP Paribas
319,159158,8443,US05565AB286,BNP Paribas,"BNP 4 5/8 PERP,144 USD",2022-01-12,BNP Paribas
319,159159,8443,US05565AAN37,BNP Paribas,"BNP 7 3/8 PERP,144 USD",2015-08-19,BNP Paribas
319,159160,8443,US05565A5R02,BNP Paribas,"BNP 8 1/2 PERP,144 USD",2023-08-14,BNP Paribas
319,159167,8443,FR001400F2H9,BNP Paribas,BNP 7 3/8 PERP EUR,2023-01-11,BNP Paribas
319,159168,8443,FR001400BBL2,BNP Paribas,BNP 6 7/8 PERP EUR,2022-09-06,BNP Paribas
319,159176,8443,FR0013433257,BNP Paribas,BNP 4 1/2 PERP AUD,2019-07-10,BNP Paribas
319,159229,8443,XS1247508903,BNP Paribas,BNP 6 1/8 PERP EUR,2015-06-17,BNP Paribas
319,159277,8443,US05565ACA97,BNP Paribas,"BNP 6 3/4 PERP,144 USD",2016-12-14,BNP Paribas
319,159278,8443,US05565AAQ67,BNP Paribas,"BNP 7 5/8 PERP,144 USD",2016-03-30,BNP Paribas
319,159753,8443,USF1R15XL274,BNP Paribas,BNP 4 1/2 PERP USD,2020-02-25,BNP Paribas
319,161399,8443,USF1067PAB25,BNP Paribas,BNP 4 5/8 PERP USD,2022-01-12,BNP Paribas
319,161702,8443,USF1067PAF39,BNP Paribas,BNP 8 PERP USD,2024-02-22,BNP Paribas
319,163177,8443,US05602XDJ46,BNP Paribas,"BNP 8 PERP,144 USD",2024-02-22,BNP Paribas
319,163194,8443,FR0013484458,BNP Paribas,BNP 0 1/2 02/19/28 EUR,2020-02-19,BNP Paribas
319,168371,8443,FR0014006NI7,BNP Paribas,BNP 0 1/2 05/30/28 EUR,2021-11-30,BNP Paribas
319,172760,8443,FR001400AKP6,BNP Paribas,BNP 2 3/4 07/25/28 EUR,2022-05-25,BNP Paribas
319,173526,8443,FR0013532280,BNP Paribas,BNP 0 1/2 09/01/28 EUR,2020-09-01,BNP Paribas
319,174399,8443,US05602XJC39,BNP Paribas,"BNP 7 3/8 PERP,144 USD",2024-09-10,BNP Paribas
1674,936,12930,DE0002028966,Aareal Bank,FIXED 5 2009-04-01,1999-04-01,Aareal Bank
1511,940,12946,FR0010465427,Nexans,NEXFP 5 3/4 05/02/17 EUR,2007-05-02,Nexans
1511,2471,12946,FR0011376201,Nexans,NEXFP 4 1/4 03/19/18 EUR,2012-12-19,Nexans
1511,4953,12946,FR0013176294,Nexans,NEXFP 3 1/4 05/26/21 EUR,2016-05-26,Nexans
1511,36045,12946,FR0013354297,Nexans,NEXFP 3 3/4 08/08/23 EUR,2018-08-08,Nexans
1511,167947,12946,FR001400Q5V0,Nexans,NEXFP 4 1/8 05/29/29 EUR,2024-05-29,Nexans
1511,164933,12946,FR001400OL29,Nexans,NEXFP 4 1/4 03/11/30 EUR,2024-03-11,Nexans
1511,152604,12946,FR001400H0F5,Nexans,NEXFP 5 1/2 04/05/28 EUR,2023-04-05,Nexans
398,958,13009,XS0172445404,Ardagh,FIXED 8.875 2013-07-01,2003-07-11,Ardagh
334,959,13011,XS0176164803,Ford Motor,FIXED 5.75 2009-01-12,2003-09-10,Ford Motor
334,1417,13011,XS0205614323,Ford Motor,FIXED 4.875 2010-01-15,2004-11-17,Ford Motor
334,1339,13011,XS0076244259,Ford Motor,FIXED 6.25 2009-05-22,1997-05-22,Ford Motor
334,122045,13011,US345397B694,Ford Motor,F 3 5/8 06/17/31 USD,2021-06-25,Ford Motor
334,116787,13011,US345397B512,Ford Motor,F 2.9 02/16/28 USD,2021-02-16,Ford Motor
334,113668,13011,XS2272365078,Ford Motor,F 2.748 06/14/24 GBP,2020-12-14,Ford Motor
334,106884,13011,XS2229875989,Ford Motor,F 3 1/4 09/15/25 EUR,2020-09-15,Ford Motor
334,112571,13011,US345397A290,Ford Motor,F 3.087 01/09/23 USD,2020-01-09,Ford Motor
334,112572,13011,US345397A456,Ford Motor,F 4.271 01/09/27 USD,2020-01-09,Ford Motor
334,112573,13011,US345397A605,Ford Motor,F 5 1/8 06/16/25 USD,2020-06-19,Ford Motor
334,112574,13011,US345397A787,Ford Motor,F 3.37 11/17/23 USD,2020-08-17,Ford Motor
334,112575,13011,US345397A860,Ford Motor,F 4 1/8 08/17/27 USD,2020-08-17,Ford Motor
