Prospectus ID,Original Filename,Section ID,Section Title,Subsection ID,Subsection Title,Subsubsection ID,Subsubsection Title,Subsubsection Text,Market Dynamics - a,Market Dynamics - b,Market Dynamics - c,Parsing Error
235,Final Offerings 2020.pdf,1,RISK FACTORS,1.1,,1.1.1,,"_An investment in the Notes involves a high degree of risk and is suitable only for investors who (either alone or in conjunction with an appropriate financial or other adviser) are capable of evaluating the merits and risks of such an investment and who have sufficient resources to be able to bear any losses that may result therefrom. Investors should consider carefully whether an investment in the Notes is suitable for them in the light of the risks described below and other information in this offering memorandum and their personal circumstances. The occurrence of any of the following events could have a material adverse effect on our business, prospects, results of operations and financial condition and impair our ability to fulfil our obligations in respect of the Notes, potentially causing a loss of all or part of the investment made when purchasing the Notes. The risk factors described below are not an exhaustive list or explanation of all relevant risks and should be used as guidance only. Additional risks and uncertainties that are not currently known to us, or that we currently deem immaterial, may individually or cumulatively also have a material adverse effect on our business, prospects, results of operations and financial condition. This offering memorandum contains “forward-looking” statements that are based on assumptions and estimates, and subject to risks and uncertainties. Our actual results may differ significantly from the results discussed in the forward-looking statements. Factors that might cause such differences include those discussed below and elsewhere in this offering memorandum. See “Cautionary Note Regarding Forward-Looking Statements.”_",,,,
16,Final Offerings 2020.pdf,1,RISK FACTORS,1.1,"Risks Relating to the Group’s Business, Technology and Competition",1.1.1,The Group faces significant competition in each of the industries in which the Group operates and competitive pressures could have a material adverse effect on the Group’s business.,"The French telecommunications market is a mature market, marked by very active competition between the main operators and very strong pressure on prices. Despite growth in market size, the French telecommunications market has recently declined in value primarily due to price pressure in the mobile market following the arrival of a fourth player in 2012 and the decline in regulated call termination rates. The Group faces significant competition from established and more recent competitors and may face competition from new entrants and market concentrations in the future. While the nature and level of competition to which the Group is subject vary according to the products and services that it offers, in each case the Group generally competes on the basis of prices, marketing, products, network coverage, characteristics of services, and customer service. The main competitor of the Group in the residential and business services markets overall is Orange, the incumbent telecommunications operator in France, that has greater financial resources and owns a more extensive network than the Group’s and that is unlikely to be duplicated or matched by the Group in the near future. Bouygues Telecom Enterprises (“Bouygues Telecom”) and Iliad are the Group’s major competitors in the residential market. In the premium pay-TV market, Groupe Canal+ products are available throughout the French territory via satellite, cable, and DTT and DSL technologies. The Group’s main competitor in business services markets overall is Orange, the incumbent telecommunications operator in France. Orange has greater financial resources and owns a more extensive network than the Group which the Group is unlikely to duplicate or match in the near future. In the residential market, in addition to Orange and Bouygues Telecom, the Group also competes with international telecommunications operators such as Colt, Verizon, AT&T, and BT, which offer multinationals access to their international networks while the Group’s network is available only in France. The Group also has operations in the French Overseas Territories that face competition and competitive pressure risks similar to those described herein. The Group’s products and services are also subject to increasing competition from alternative new technologies or improvements in existing technologies. New players from sectors that are either unregulated or subject to different regulations (including internet players such as Yahoo!, Google, Disney+, Microsoft, Amazon, Apple, YouTube, Netflix and other audiovisual players, media players and “over the top” (“OTT”) (of an existing broadband internet network) players) have also emerged as competitors to the Group’s video content offering. These players are taking advantage of improved connectivity and platform agnostic technologies to offer OTT and cloud-based services. Telecommunications operators are expected to maintain traditional access services and billing relationships over which users access services from adjacent players such as well-known companies offering music, video, photos, apps and retail. The rapid success of audiovisual content streamed through the telecommunications network and insufficient innovation could lead to the emergence of other content or service providers as well as the saturation of the market, which would put pressure on the revenues and margins of operators like the Group, while simultaneously requiring them to increase capital expenditures to remain competitive, which could adversely affect the Group’s business, financial condition or results of operations. ----- Moreover, the Group is also facing competition from non-traditional mobile voice and data services based on new mobile internet technologies, in particular OTT applications, such as Skype, Google Talk, Facetime, Viber and WhatsApp. These OTT applications are often free of charge, accessible via smartphones and allow their users to have access to potentially unlimited messaging and voice services over the internet, thus bypassing more expensive traditional voice and messaging services, such as SMS and MMS, provided by mobile network operators, who are only able to charge the internet data usage for such services. All telecommunications operators are currently competing with OTT service providers who leverage existing infrastructures and operate capitallight business models, enhancing their ability to compete with businesses, such as the Group’s, which operate capital-intensive business models. OTT service providers have over the past years become more sophisticated and technological developments have led to a significant improvement in the quality of service, particularly in speech quality. In addition, players with strong brand capability and financial strength, such as Apple, Google and Microsoft, have turned their attention to the provision of OTT audio and data services. In the long term, if nontraditional mobile voice and data services or similar services continue to increase in popularity and if the Group, or more generally all of the telecommunications operators, are not able to address this competition, this could cause declines in subscriber base and profitability across all of the Group’s products and services, among other material adverse effects. In addition, the Group may face increasing competition from the large-scale roll-out of public Wifi networks by local governments and utilities and transportation service providers, new and existing Wifi telecommunications operators and others, which particularly benefits OTT service providers. Due to their ability to leverage existing infrastructure and to roll out public Wifi in a cost-efficient way, the Group’s competitors may be better positioned to offer their customers public Wifi access at attractive terms and conditions or as part of their current mobile and landline offerings, which may affect the Group’s ability to retain or acquire customers. Furthermore, the Group’s competitors may realize cost savings by off-loading mobile data traffic onto their own Wifi networks or those of their partners in order to reduce costs and increase bandwidth more quickly or efficiently than the Group can. An increase in public Wifi networks could also cause declines in profitability as demand for the Group’s network and services decreases. The following is an overview of the competitive landscape in France: _1. Residential—Mobile_ The Group competes with service providers that use alternative technologies for internet access, such as satellite technologies or mobile standards such as universal mobile telecommunications system (“UMTS”) and 3G/4G mobile technologies. These mobile broadband high speed internet access technologies may enable both incumbent and new broadband access providers to provide high bandwidth connection services for voice and data. Furthermore, additional access technologies may be launched in the future that will further increase competition or lead the Group to increase capital expenditure for additional upgrades. Providers of mobile broadband internet access may be able to offer fast internet access speeds at a competitive cost, with the additional possibility of allowing subscribers to access the internet remotely. The French mobile telephony market is characterized by competition among well-established mobile network operators such as Orange, Bouygues Telecom and Free and other operators without their own mobile networks. Competition has intensified, particularly as to price, since Free entered the market in early 2012 with a low-priced unlimited calling package. The mobile telephony market in France is currently undergoing a transformation because of competitive pricing, bundled packages no longer including subsidized handsets and the development of “low cost” brands. After strong price decreases in 2013 and 2014, which resulted in mobile post-paid prices in France being among the lowest in Europe, price pressure eased in 2015 and 2016 but intensified again in 2017, weakened slightly in 2018, increased again in 2019, and remained stable in 2020. If price pressure continues to intensify, the Group’s results of operations and financial condition in future periods may be materially adversely affected. _2. Residential—Fixed_ In the French pay-TV market, the Group competes with providers of premium television packages such as CanalSat, DSL triple-play and/or quadruple-play operators such as Orange, Free and Bouygues Telecom, which provide IPTV, and providers of pay DTT (such as Canal+, which operates across multiple formats: including IPTV, pay DTT, satellite and cable). The growth of IPTV, which is the most popular pay-TV distribution platform followed by satellite and DTT, has changed the market, opening up the provision of pay-TV services beyond the ----- traditional methods of cable and satellite, which is limited by the inability to install a satellite dish on the façade of buildings in certain areas, such as central Paris. The Group also competes with satellite television services that may be able to offer a greater range of channels to a larger audience, reaching wider geographic areas (especially in rural areas) for lower prices than the prices of the Group’s cable pay-TV services. Any increase in market share of satellite distribution may have a negative impact on the success of the Group’s digital cable television services. The Group also faces competition from satellite distribution of free to air television programming. While pay DTT’s share of the pay-TV market is currently low, providers of pay DTT may in the future be able to offer a wider range of channels to a larger audience for lower prices than the Group charges. In the broadband market, the Group provides high speed internet through its cable, FTTH and xDSL networks and it competes primarily with xDSL and FTTH providers, with FTTH currently being the most widespread technology used to access very high speed internet in France. Orange is the leading DSL provider in France, followed by Free, the Group and Bouygues Telecom. While the Group believes that it has the network advantage in terms of its fiber optic/cable network compared to its competitors’ xDSL networks, and better coverage of fiber networks as compared to its competitors, which currently places the Group at a competitive advantage to exploit the increased demand in France for very-high-speed internet in the areas covered by the Group’s fiber optic/cable network, such competitive advantage may be diminished to the extent that competitors increase the roll out their FTTH networks. For further information see “The deployment of fiber optic networks and/or VDSL2 by _competitors of the Group could reduce and ultimately eliminate the gap between the speed and the power of the fiber optic/cable network of the Group compared to the DSL networks of its main competitors.” In addition, the_ Group’s xDSL competitors’ networks cover more French households than the Group’s network and pricing is very competitive. _3. Business Services—B2B_ In the B2B segment the Group’s main competitors are Orange (Orange Business Services) and Colt. Bouygues Telecom is also a competitor in the SME segment. The French B2B market for voice services is extremely price sensitive, with sophisticated customers, relatively short term (typically one year) contracts, and vulnerability to cuts in mobile termination rates. The ability to compete effectively is partially a function of network capillarity, and certain of the Group’s competitors have a more extensive and denser network than us. In the data market, customers also often seek combined infrastructure and software solutions. As a result, the Group also competes with software and other IT providers of data and network solutions, which may decrease the value customers place on its infrastructure solutions, leading to a reduction in its prices and margins. IT providers may also partner with the Group’s infrastructure telecommunications competitors. _4. Business Services—Wholesale_ The French wholesale telecommunications market is dominated by Orange and the Group, although Orange’s and the Group’s market shares vary depending on the segment. The Group also faces competition from consortiums of telecommunications operators and construction companies, such as Covage, Vinci, Eiffage and Axiom (who may lay down fiber in construction sites and then lease them on the wholesale market). The wholesale market for data services in France is less volatile than the voice market. Competition is based primarily, in addition to price, on service quality and technological advancement. The wholesale market for dark fiber infrastructure in France is more open than for wholesale voice and data carriage, as providing it does not require having a dense, national network and does not include any services would require technical expertise. The Group expects competition in the French telecommunications industry to remain intense and there can be no assurance that the Group will not be negatively impacted by any future consolidation of the Group’s competitors or similar developments in one or more of the markets in which the Group competes. For further details regarding the competitive environment, in which we operate, see “Industry, Competition and Market Overview”.",,,,N/A
16,Final Offerings 2020.pdf,1,RISK FACTORS,1.1,"Risks Relating to the Group’s Business, Technology and Competition",1.1.2,The deployment of fiber optic networks and/or VDSL2 by competitors of the Group could reduce and ultimately eliminate the gap between the speed and the power of the fiber optic/cable network of the Group compared to the DSL networks of its main competitors.,"The Group believes that one of its major competitive advantages is the power and speed of its fiber optic/cable network. As of June 30, 2020, the Group’s network passed approximately 17,457,000 fiber/cable homes, including fiber/cable homes now passed by SFR FTTH. However, competitors of the Group are also deploying fiber and/or VDSL2 networks enabling download speeds and bandwidths that could rival those reached by the Group’s network, and thus strongly reduce the Group’s competitive advantage. The Group’s main competitors (Orange, ----- Free and Bouygues Telecom) have begun to introduce FTTH networks to increase and harmonize their network speed. On December 4, 2019, Orange unveiled its strategic plan through 2025 indicating its objectives for FTTH lines to include the deployment of approximately 19 million lines in private areas (compared to 10.4 million already rolled-out as of June 2019) and approximately 4 million lines in investment areas (compared to 0.4 million as of June 2019) in addition of approximately 13 million lines deployed by a third party and co-financed by Orange by 2023 (Source: _Orange press release). Furthermore, other operators may obtain access to the infrastructure deployed by an operator, through joint projects for financing. All of the DSL operators have announced various agreements on sharing the deployment of FTTH in given areas. For example, Orange and Free entered into a contract in July 2013 providing for the deployment by Free of a fiber network using Orange’s infrastructure in approximately 20 French cities, which allows for open access to all competing operators. In addition, in 2013 the French government announced a FTTH deployment plan of €20 billion (invested by private operators and local authorities) with the objective of providing very-high-speed internet access to the entire territory in 2022. The government will provide a subsidy package of approximately €3,300 million, partly from funding from the Investments for the Future Program managed by the Office of the General Commissioner of Investment under the 2015 Budget Act. The rollout has been divided in three zones: very dense areas (approximately six million households) and low-density areas (approximately 13 million households), that are already covered or will be covered by FTTH with privately-funded networks; and low-density areas (approximately 15 million households), where private operators will co-invest with public partners. Orange and the Group will lead the deployment of the very-high speed network in privately-funded, low density areas, with the Group being in charge of approximately 20% of the network deployment. Various local and regional authorities have already extended subsidies to network operators, including the Group, to install FTTH connections. This trend should continue, as certain departments, municipalities and regions, such as Hauts-deSeine, Amiens and Louvin, for example, have entered into public-private partnerships to encourage such investments. In such areas, various operators will have access to the network and will be able to compete. In addition, in accordance with the conditions established by ARCEP, third-party operators may have access to the infrastructure used by an operator, including by co-financing projects, for their own very-high-speed internet offers. As a result, FTTH deployment by the Group’s competitors could accelerate and the share of FTTH on the highspeed internet market could grow significantly, thereby eliminating or reducing the Group’s fixed network advantage. VDSL2 technology has also been implemented in some areas by competitors of the Group. Deployment of VDSL2 only requires adding VDSL2 cards in already deployed digital subscriber line access multiplexers (“DSLAMs”) and does not involve physical intervention at the subscriber’s premises. Moreover, the deployment of this technology has accelerated since October 2014 given the favorable opinion of the copper experts committee that has allowed the marketing, starting from that date, of VDSL2 in indirect distribution on all lines from a main distribution frame (“MDF”) on Orange’s local copper loop. As of December 31, 2018, approximately 5,950,000 households were eligible for VDSL2 (source: ARCEP). If the competitors of the Group continue to deploy or significantly increase their fiber optic networks they could be able to compete with the Group in terms of the offering of high-speed internet and television services of a quality and speed greater than or equal to those of the Group, thus potentially eliminating the Group’s current competitive advantage, increasing the pressure upon prices and margins and leading the Group to make significant investments in order to match the services they offer. Deployment of VDSL2 and/or fiber optic networks by competitors also represents a risk for the business services activity of the Group, particularly with regard to medium-sized, small-to-medium-sized and very-small-sized businesses to which the Group’s DSL and fiber/cable networks network presently represent an advantage. Although the Group is preparing for this deployment by improving its product range and building out its fiber/cable network, such deployment could have a material adverse effect on the Group’s business, financial position and results of operations.",,,,N/A
16,Final Offerings 2020.pdf,1,RISK FACTORS,1.1,"Risks Relating to the Group’s Business, Technology and Competition",1.1.3,"Changes in competitive offerings for content, including the potential rapid adoption of piracy-based video offerings, could adversely impact the Group’s business.","The market for content is intensely competitive and subject to rapid change. Through new and existing distribution channels, consumers have increasing options to access entertainment video, sports and other content. The various economic models underlying these channels include subscription, transactional, ad-supported and piracy-based models. All of these have the potential to capture meaningful segments of the content market. Piracy, in particular, threatens to damage the Group’s business, as its fundamental proposition of virtually all content being offered for ----- free to consumers is so compelling and difficult to compete against. Furthermore, in light of the compelling consumer proposition, piracy services are subject to rapid global growth. Traditional providers of content, including broadcasters, as well as internet based e-commerce or content providers are increasing their internetbased offerings. Several of these competitors have long operating histories, large customer bases, strong brand recognition and significant financial, marketing and other resources. They may secure better terms from suppliers, adopt more aggressive pricing and devote more resources to product development, technology, infrastructure, content acquisitions and marketing. New entrants may enter the market, or existing providers may adjust their services, with unique offerings or approaches to providing content. Companies also may enter into business combinations or alliances that strengthen their competitive positions. If the Group is unable to successfully or profitably compete with current and new competitors, the Group’s business will be adversely affected, and it may not be able to increase or maintain market share, revenues or profitability.",,,,N/A
16,Final Offerings 2020.pdf,1,RISK FACTORS,1.1,"Risks Relating to the Group’s Business, Technology and Competition",1.1.4,"Acquisitions and other strategic transactions present many risks, including the risk that the Group may not be able to integrate newly acquired operations into its business, which may prevent the Group from realizing the strategic and financial goals contemplated at the time of any such transaction and thus adversely affect the its business.","Historically, the Group’s business has grown, in part, through a significant number of selective acquisitions, including the SFR Acquisition that has enabled the Group to take advantage of existing networks, service offerings and management expertise. The Group may continue to grow its business through acquisitions of broadband and mobile communications businesses, content companies and ancillary services that we believe will present opportunities to create value by generating strong cash flows and operational synergies. In addition, we have recently entered into certain strategic transactions, such as the Towers Transactions and the sale of the Group’s Voice Carrier Business, to monetize the value of certain of our non-core assets in France, and the sale of a 49.99% interest in SFR FTTH to create an alternative FTTH infrastructure wholesale operator. Moreover, SFR FTTH (an associate of the Group) has entered into agreement to acquire all of the equity interests in Covage, which transaction is expected to close in the second half of 2020. In the future, the Group may enter into similar transactions. Any acquisition, disposal or other strategic transaction the Group may undertake in the future could result in the incurrence of debt and contingent liabilities and an increase in interest expenses, amortization expenses related to goodwill and other intangible assets or in the use by us of available cash on hand to finance any such acquisitions. The Group may experience difficulties in integrating acquired operations into the Group’s business, incur higher than expected costs or fail to realize all of the anticipated benefits or synergies of these acquisitions, if any. Such transactions may also disrupt the Group’s relationships with current and new employees, customers and suppliers. In addition, the Group’s management may be distracted by such acquisitions and the integration of acquired businesses. Thus, if the Group consummates any further acquisitions or fail to integrate any previous acquisitions, there could be a material adverse effect on the Group’s business, financial condition and results of operations. There can be no assurance that we will be successful in completing business acquisitions or integrating previously acquired companies. In addition, the Group’s debt burden may increase if we borrow funds to finance any future transactions, which could have a negative impact on the Group’s cash flows and the Group’s ability to finance our overall operations. Acquisitions or disposals of additional telecommunications companies may require the approval of governmental authorities (either domestically or, in the case of the EU, at the EU level), which can block, impose conditions on, or delay the process which could result in a failure on our part to proceed with announced transactions on a timely basis or at all, thus hampering our opportunities for growth. In the event conditions are imposed and we fail to meet them in a timely manner, the relevant governmental authority may impose fines and, if in connection with a merger transaction, may require restorative measures, such as mandatory disposition of assets or divestiture of operations. Although we analyze and conduct due diligence on acquisition targets, our assessments are subject to a number of assumptions concerning profitability, growth, interest rates and company valuations and our inquiries may fail to uncover relevant information. There can be no assurance that our assessments or due diligence of and assumptions regarding acquisition targets will prove to be correct, and actual developments may differ significantly from our expectations. Moreover, our plans to acquire additional businesses in the future are subject to the availability of suitable opportunities. The Group’s competitors may also follow similar acquisition strategies and may have greater financial resources available for investments or may be willing to accept less favorable terms than we can accept, which may prevent us from acquiring businesses that we target to the benefit of our competitors. ----- The operating complexity of the Group’s business and the responsibilities of management have increased significantly as a result of the growth of our business through acquisitions, which may place significant strain on our managerial and operational resources. The Group may be unable to allocate sufficient managerial and operational resources to meet our needs as our business grows, and our current operational and financial systems and managerial controls and procedures may become inadequate. Although the Group considers the operational and financial systems and managerial controls and procedures that we currently have in place to be adequate for the Group’s purposes, we recognize that the effectiveness of these systems, controls and procedures needs to be kept under regular review as the Group’s business grows. The Group will have to maintain close coordination among our logistical, technical, accounting, finance, marketing and sales personnel. Management of growth will also require, among other things, continued development of financial and management controls and information technology systems. The constant growth may strain our managerial resources which may require the Group to hire additional managerial resources. The Group may be unable to hire managers with the relevant expertise or the hiring process may require significant time and resources, all of which could result in a disruption in the Group’s management, growth, operational and financial systems, managerial controls and procedures and, accordingly, the Group’s business, financial condition and results of operations. The Group periodically evaluates, and has engaged in, the disposition of certain non-core assets and businesses. Divestitures could involve difficulties in the separation of operations, services, products and personnel, the diversion of management’s attention, the disruption of our business and the potential loss of key employees. After reaching an agreement with a buyer for the disposition of a business, the transaction may be subject to the satisfaction of pre-closing conditions as well as to obtaining necessary regulatory and government approvals, which, if not satisfied or obtained, may prevent us from completing the transaction. Divestitures may also involve continued financial involvement in the divested assets and businesses, such as indemnities or other financial obligations, in which the performance of the divested assets or businesses could impact our results of operations. Any divestiture the Group undertakes could adversely affect the Group’s financial condition and results of operations. In certain cases, the Group has entered into or may enter into joint venture arrangements with a majority or minority interest in such joint ventures. Even in cases where the Group has retained a majority interest, the joint venture partner may have significant influence over policies, including consent rights with respect to certain specified matters. The Group has a lesser degree of control over the business operations of the joint ventures and businesses in which it has made minority investments.",,,,N/A
16,Final Offerings 2020.pdf,1,RISK FACTORS,1.1,"Risks Relating to the Group’s Business, Technology and Competition",1.1.5,The Group might not be able to effectively implement or adapt its business strategy.,"The Group has based its strategy on its vision of the market, especially the importance of very-high-speed fiber/cable and mobile networks and of fixed-mobile convergence. At the core of the Group’s strategy has been revenue, profitability and cash flow growth. Key elements of this strategy have included: (i) operational and financial turnaround under the leadership of a new management team; (ii) optimizing commercial performance with a particular focus on customer services; (iii) continuing to invest in best-in-class infrastructure commensurate with its market position; and (iv) monetizing content investments through various pay-TV models and growing advertising revenue. However, the Group is evolving in a market affected by economic, competitive and regulatory uncertainty and the Group must regularly adapt its business model to take into account market changes such as changes in consumer behavior, introduction of new technology, products or services, competition and the development of specific pricing policies, the adaptation of its structural costs, the streamlining of its operational organization, and the adaptation of its sales strategy. If the measures taken by the Group do not meet the demands, expectations, or habits of the consumer, it will have an adverse effect on the return on investments, financial targets, market share, and revenues generated. Consequently, any development of the Group’s business strategy that proves not to be sufficiently adapted to the actual trends and demands, expectations, or habits of the consumer in the telecommunications market may not achieve its desired goals and/or have a material adverse effect on its business, financial position and results of operations. Moreover, the transformation of the Group following the execution of certain strategic transactions, including non-core asset disposals, strategic acquisitions and investments or entry into joint venture arrangements, could create operational difficulties and unforeseen expenses and could give rise to significant administrative, financial, and managerial challenges involving the activity of the Group. Such strategic transactions may also disrupt its ongoing business, cause management’s attention to be diverted and result in legal, regulatory, contractual, labor, or other difficulties that have not been foreseen or disclosed. -----",,,,N/A
16,Final Offerings 2020.pdf,1,RISK FACTORS,1.1,"Risks Relating to the Group’s Business, Technology and Competition",1.1.6,"Revenue from certain of the Group’s services has been declining or not growing, and the Group may be unable to offset such trends.","The Group’s total revenues and revenues in the residential fixed, residential mobile, business services and media segments declined in the year ended December 31, 2018 compared to the year ended December 31, 2017. While the Group’s total revenues increased for the year ended December 31, 2019 compared to the year ended December 31 2018, there was a decrease in revenues in the residential-fixed and media segments. Similarly, while the Group’s total revenue increased for the six months ended June 30, 2020 compared to the six months ended June 30, 2019, there was a decrease in revenues in the equipment sales and media segments. The Group’s Adjusted EBITDA remained flat for the year ended December 31, 2018 compared to the year ended December 31, 2017 and for the six months ended June 30, 2020 compared to June 30, 2019, but increased for the year ended December 31, 2019 compared to the year ended December 31, 2018. While the Group is focused on achieving an operational financial turnaround, there can be no assurance that this trend of declines in revenue will not continue in future periods. The Group expects its DSL business with Bouygues Telecom to continue to decline. In particular, churn in Bouygues Telecom’s DSL white label customers has already led to a decrease in white label subscribers. If the revenue and profitability loss from such businesses is not offset by revenue and profitability growth in other Group businesses, this could have a material adverse effect on the Group’s business activities, the results of its operation and financial condition. In addition, the Group could experience further decreases in customers on its DSL network in the future due to their migration to fiber/cable networks providing them with access to greater internet speeds compared with those available on DSL networks. If the revenue and profitability loss from customers on the Group’s DSL network is not offset by revenue and profitability growth on the Group’s fiber/cable network, this could have a material adverse effect on the Group’s business activities, the results of operation and financial condition.",,,,N/A
16,Final Offerings 2020.pdf,1,RISK FACTORS,1.1,"Risks Relating to the Group’s Business, Technology and Competition",1.1.7,"Customer churn, or the threat of customer churn, may adversely affect the Group’s business.","The Group’s ability to attract and retain subscribers to its services or to increase profitability from existing subscribers will depend in large part on the Group’s ability to stimulate and increase subscriber usage, convince subscribers to switch from competitors’ services to our services and the Group’s ability to minimize customer churn. Customer churn is a measure of the number of customers who stop subscribing for one or more of our products or services. Churn arises mainly as a result of the contractual subscription period (generally 12 months in the residential segments and between one and three years in the business services market), competitive influences, the relocation of clients outside of the Group’s network area (which is less extensive than our competitors), introduction of new products and technologies, deterioration of personal financial circumstances, price increases and regulatory developments. Customer churn may also increase if the Group is unable to deliver satisfactory services over its network, or if it modifies the types of services it makes available in a certain region. In addition, customer churn also arises upon the cancellation of services to customers who are delinquent in their payments to the Group. In addition, the Group outsources many of its customer service functions to third party contractors over which the Group has less control than if it were performing those tasks itself. The Group has experienced significant churn in mobile and fixed customers in recent years due to intense competition. Moreover, the churn rate in the Group’s white label business may increase for reasons outside the Group’s control (as it is not involved in client services and retention). In particular, churn in Bouygues Telecom’s DSL white label customers has already led to a decrease in white label subscribers, which is expected to continue in the long term. See “Business of the Group—Material Contracts—White Label Agreements”. If the Group fails to effectively communicate the benefits of the Group’s networks through its marketing advertising efforts, it may not be able to attract new customers and our efforts to attract and retain customers may prove unsuccessful. In addition, any interruption of the Group’s services or the removal or unavailability of programming, which may not be under our control, could contribute to increased customer churn. Further the Group’s competitors may improve their ability to attract new customers, for example by offering new product bundles or product offerings at lower prices than the Group, which would make it difficult for the Group to retain its current subscribers, and the cost of retaining and acquiring new subscribers could increase. In addition, the Group’s business services operations are also subject to tariff churn (i.e. an existing customer negotiating tariff decreases). Large corporate customers in particular are highly sophisticated and often aggressive in seeking to renegotiate the pricing of their contracts, which tends to result in margin pressure. Increased customer or tariff churn may have a material adverse effect on the Group’s business, financial condition and results of operations. -----",,,,N/A
16,Final Offerings 2020.pdf,1,RISK FACTORS,1.1,"Risks Relating to the Group’s Business, Technology and Competition",1.1.8,The Group’s growth prospects depend on continued demand for fixed-based and mobile products and services and increased demand for bundled and premium offerings.,"The use of broadband, television and fixed-line telephony and mobile services in France has increased sharply in recent years. The Group has benefited from this growth in recent years and its growth and profitability depend, in part, on continued demand for these services in the coming years. The Group relies on its multi-play and premium television services to attract new customers and to migrate existing customers to such services. Therefore, if demand for multi-play products and premium television services does not increase as expected, this could have a material adverse effect on our business, financial condition and results of operations.",,,,N/A
16,Final Offerings 2020.pdf,1,RISK FACTORS,1.1,"Risks Relating to the Group’s Business, Technology and Competition",1.1.9,The Group’s future revenue growth depends in part on market acceptance of new product introductions and product innovations.,"In general, the telecommunications industry is characterized by the frequent introduction of new products and services or upgrading of existing products and services, in connection with new technologies, as well as changes in usage patterns and in customer needs and priorities. The Group’s long term results of operations therefore depend substantially upon its ability to continue to conceive, design, source and market new products and services as well as continuing market acceptance of the Group’s existing and future products and services. Should the Group fail to or be significantly delayed in introducing new products and services in the future, if the Group’s new products and services are not accepted by customers, or if the Group’s competitors introduce more sophisticated or more popular products and services, the Group’s business and results of operations may be adversely affected.",,,,N/A
