RmsId;ScoringDate;CategoryGroup;Category;Score;TaggedCharacteristics;Status;SharePointLink;SharePointLinkTruncated
194;15/04/2021;Industry;Market Dynamics;20.000.000.000;"[{""CharacteristicText"":""Positive demographic, consumer & structural trends"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/194/;https://c4.sharepoint.com/sites/194
194;15/04/2021;Industry;Intra-Industry Competition;20.000.000.000;"[{""CharacteristicText"":""Market share is consolidated with top 3-5 players & limited fragmentation of remainder"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/194/;https://c4.sharepoint.com/sites/194
194;15/04/2021;Industry/Company;Technology Risk;30.000.000.000;"[{""CharacteristicText"":""Company is viewed as a disruptor\/benficiary from technological change"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Industry is susceptible to technological advances"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/194/;https://c4.sharepoint.com/sites/194
194;15/04/2021;Industry/Company;Regulatory Framework;30.000.000.000;"[{""CharacteristicText"":""Low dependecy on regulation or is a beneficiary from regulation in a stable regulatory evironment"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Industry has high degree of regulatory scrutiny"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/194/;https://c4.sharepoint.com/sites/194
194;15/04/2021;Company;Business Model;20.000.000.000;"[{""CharacteristicText"":""Well diversified (products\/geographies) with low customer concentration"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Subscription based business model and\/or longer-term contractual relationships"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/194/;https://c4.sharepoint.com/sites/194
194;15/04/2021;Company;Management & Ownership;30.000.000.000;"[{""CharacteristicText"":""Industry experiened PE owner \/ pension fund \/ listed company without conentrated ownership (voting rights)"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Significant carve-out\/integration\r\nrisk"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Aggressive M&A strategy with\r\nfuture acquisitions likely"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/194/;https://c4.sharepoint.com/sites/194
194;15/04/2021;Company;Competitive Positioning;30.000.000.000;"[{""CharacteristicText"":""Leading position or gainer"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Highly commoditized offering with no unique value proposition"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/194/;https://c4.sharepoint.com/sites/194
235;27/11/2020;Industry;Market Dynamics;20.000.000.000;"[{""CharacteristicText"":""Low cyclicality of product demand"",""CharacteristicInfluence"":""Positive""}]";Active;https://c4.sharepoint.com/sites/235/;https://c4.sharepoint.com/sites/235
235;27/11/2020;Industry;Intra-Industry Competition;40.000.000.000;"[{""CharacteristicText"":""Market pricing has not shown to be rational"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/235/;https://c4.sharepoint.com/sites/235
235;27/11/2020;Industry/Company;Regulatory Framework;20.000.000.000;"[{""CharacteristicText"":""High dependecy on regulation or is a beneficiary from regulation in an unstable regulatory evironment"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Industry has high degree of regulatory scrutiny"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/235/;https://c4.sharepoint.com/sites/235
235;27/11/2020;Company;Business Model;40.000.000.000;"[{""CharacteristicText"":""Subscription based business model and\/or longer-term contractual relationships"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""High customer and\/or (critical)\r\nsupplier concentration and\/or low\r\ndiversification (product\/geography)"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/235/;https://c4.sharepoint.com/sites/235
235;27/11/2020;Company;Management & Ownership;40.000.000.000;"[{""CharacteristicText"":""Aggressive ownership style with mixed track record"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/235/;https://c4.sharepoint.com/sites/235
235;27/11/2020;Company;Competitive Positioning;40.000.000.000;"[{""CharacteristicText"":""Market challenger"",""CharacteristicInfluence"":""Negative""},{""CharacteristicText"":""Highly commoditized offering with no unique value proposition"",""CharacteristicInfluence"":""Negative""}]";Active;https://c4.sharepoint.com/sites/235/;https://c4.sharepoint.com/sites/235
372;09/12/2020;Industry;Market Dynamics;10.000.000.000;"[{""CharacteristicText"":""Low cyclicality of product demand"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Limited seasonaility and stable working capital"",""CharacteristicInfluence"":""Positive""}]";Inactive;https://c4.sharepoint.com/sites/372/;https://c4.sharepoint.com/sites/372
372;09/12/2020;Industry;Intra-Industry Competition;20.000.000.000;"[{""CharacteristicText"":""Historically rational pricing"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Market share is consolidated with top 3-5 players & limited fragmentation of remainder"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""High barriers to entry"",""CharacteristicInfluence"":""Positive""}]";Inactive;https://c4.sharepoint.com/sites/372/;https://c4.sharepoint.com/sites/372
372;09/12/2020;Industry/Company;Technology Risk;30.000.000.000;"[{""CharacteristicText"":""Company is viewed as a disruptee\/threatened by technological change"",""CharacteristicInfluence"":""Negative""}]";Inactive;https://c4.sharepoint.com/sites/372/;https://c4.sharepoint.com/sites/372
372;09/12/2020;Company;Business Model;20.000.000.000;"[{""CharacteristicText"":""Well diversified (products\/geographies) with low customer concentration"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Subscription based business model and\/or longer-term contractual relationships"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Sales are recurring in nature (but not contracturally obligated)"",""CharacteristicInfluence"":""Positive""}]";Inactive;https://c4.sharepoint.com/sites/372/;https://c4.sharepoint.com/sites/372
372;09/12/2020;Company;Management & Ownership;30.000.000.000;"[{""CharacteristicText"":""Aggressive ownership style with mixed track record"",""CharacteristicInfluence"":""Negative""}]";Inactive;https://c4.sharepoint.com/sites/372/;https://c4.sharepoint.com/sites/372
372;09/12/2020;Company;Competitive Positioning;20.000.000.000;"[{""CharacteristicText"":""Leading position or gainer"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Clear value proposition \/ reason to exist (e.g. Patent protection, branding, sustaining differentiators)"",""CharacteristicInfluence"":""Positive""}]";Inactive;https://c4.sharepoint.com/sites/372/;https://c4.sharepoint.com/sites/372
323;27/11/2020;Industry;Market Dynamics;30.000.000.000;"[{""CharacteristicText"":""Positive demographic, consumer & structural trends"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Majority of revenues exposed to above average cyclical products"",""CharacteristicInfluence"":""Negative""}]";;https://c4.sharepoint.com/sites/imp_323/;https://c4.sharepoint.com/sites/imp_323
323;27/11/2020;Industry;Intra-Industry Competition;30.000.000.000;"[{""CharacteristicText"":""High barriers to entry"",""CharacteristicInfluence"":""Positive""}]";;https://c4.sharepoint.com/sites/imp_323/;https://c4.sharepoint.com/sites/imp_323
323;27/11/2020;Industry/Company;Regulatory Framework;20.000.000.000;"[{""CharacteristicText"":""Low dependecy on regulation or is a beneficiary from regulation in a stable regulatory evironment"",""CharacteristicInfluence"":""Positive""}]";;https://c4.sharepoint.com/sites/imp_323/;https://c4.sharepoint.com/sites/imp_323
323;27/11/2020;Company;Business Model;30.000.000.000;"[{""CharacteristicText"":""Flexible cost base"",""CharacteristicInfluence"":""Positive""},{""CharacteristicText"":""Sales are recurring in nature (but not contracturally obligated)"",""CharacteristicInfluence"":""Positive""}]";;https://c4.sharepoint.com/sites/imp_323/;https://c4.sharepoint.com/sites/imp_323
323;27/11/2020;Company;Management & Ownership;20.000.000.000;"[{""CharacteristicText"":""Experienced management team with limited key person risk"",""CharacteristicInfluence"":""Positive""}]";;https://c4.sharepoint.com/sites/imp_323/;https://c4.sharepoint.com/sites/imp_323
323;27/11/2020;Company;Competitive Positioning;20.000.000.000;"[{""CharacteristicText"":""Leading position or gainer"",""CharacteristicInfluence"":""Positive""}]";;https://c4.sharepoint.com/sites/imp_323/;https://c4.sharepoint.com/sites/imp_323
