timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2024/12/14 22:43:02.994, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:03.995, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:04.996, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:05.996, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:06.997, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:07.997, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:08.998, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:09.998, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:10.999, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:12.000, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:13.000, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:14.001, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:15.002, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:16.002, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:17.002, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:18.003, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:19.003, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:20.005, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:21.006, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:22.006, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:23.007, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:24.007, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:25.008, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:26.008, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:27.009, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:28.009, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:29.010, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:30.010, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:31.011, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:32.013, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:33.014, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:34.014, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:35.015, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:36.015, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:37.015, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:38.016, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:39.017, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:40.018, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:41.019, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:42.019, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:43.020, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:44.020, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:45.022, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:46.022, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:47.023, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:48.024, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:49.025, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:50.025, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:51.026, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:52.026, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:53.027, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:54.028, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:55.029, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:56.029, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:57.029, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:58.030, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:43:59.031, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:00.032, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:01.032, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:02.033, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:03.033, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:04.034, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:05.035, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:06.036, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:07.036, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:08.038, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:09.039, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:10.040, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:11.041, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
2024/12/14 22:44:12.042, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 1 MiB
