Prospectus ID,Section ID,Section Title,Subsection ID,Subsection Title,Subsubsection ID,Subsubsection Title,Subsubsection Text,Market Dynamics - a,Market Dynamics - b,Market Dynamics - c,LLM Answer,Evidence Text,Parsing Error
1,1,RISK FACTORS,1.1,Risks Related to the Actavis Generics Acquisition,1.1.1,"If the Actavis Generics acquisition is consummated, generics will be a significantly larger component of our business.","For the year ended December 31, 2015, our generics segment represented approximately 49% of our revenues. Following the completion of the Actavis Generics acquisition, the percentage of our revenues and profits attributable to sales of generics is expected to increase substantially. Generic pharmaceuticals are, as a general matter, less profitable than specialty pharmaceuticals, and due to the size of the acquisition, it is unlikely that the proportion of revenues attributable to generic pharmaceuticals, which will move from less than half before the acquisition to nearly two-thirds afterward, will change significantly over the next few years. Accordingly, we will be more dependent on our generics business and increasingly subject to market and regulatory factors affecting generic pharmaceuticals worldwide.",,,,,,N/A
1,1,RISK FACTORS,1.1,Risks Related to the Actavis Generics Acquisition,1.1.2,We may fail to realize all of the anticipated benefits of the Actavis Generics acquisition or those benefits may take longer to realize than expected. We may also encounter significant difficulties in integrating Actavis Generics.,"Our ability to realize the anticipated benefits of the Actavis Generics acquisition will depend, to a large extent, on our ability to integrate the Actavis Generics business. The combination of two independent businesses is a complex, costly and time-consuming process. The nature of a carve out acquisition makes it inherently more difficult to assume operations on closing day as well as to integrate activities, as certain systems, processes and people may not all transfer with the acquired business to support such activities. As a result, we will be required to devote significant management attention and resources to integrate the business practices and operations of Teva and Actavis Generics. The integration process may disrupt the businesses and, if implemented ineffectively, would restrict the realization of the full expected benefits. The failure to meet the challenges involved in integrating the two businesses and to realize the anticipated benefits of the transaction could cause an interruption of, or a loss of momentum in, the activities of the combined businesses and could adversely affect the results of operations of the combined businesses. In addition, the overall integration of the businesses may result in material unanticipated problems, expenses, liabilities, competitive responses, loss of customers and other business relationships, and diversion of management’s attention. The difficulties of combining the operations of the companies include, among others: - the diversion of management’s attention to integration matters; - difficulties in achieving anticipated cost savings, synergies, business opportunities and growth prospects from the combination; 10 ----- - difficulties in the integration of operations and systems; - conforming standards, controls, procedures and accounting and other policies, business cultures and compensation structures between the two companies; - difficulties in the assimilation of employees; - difficulties in managing the expanded operations of a significantly larger and more complex company; - challenges in keeping existing customers and obtaining new customers; - challenges in attracting and retaining key personnel; and - coordinating a geographically dispersed organization. Many of these factors will be outside of our control and any one of them could result in increased costs, decreases in the amount of expected revenues and diversion of management’s time and energy, which could materially impact the business, financial condition and results of operations of the combined company. In addition, even if the Actavis Generics operations are integrated successfully, the full benefits of the transaction and other pending acquisitions may not be realized, including the synergies, cost savings or sales or growth opportunities that are expected. These benefits may not be achieved within the anticipated time frame, or at all. Further, additional unanticipated costs may be incurred in the integration of the businesses of Teva and Actavis Generics. All of these factors could cause dilution to our earnings per share, decrease or delay the expected accretive effect of the transaction, and negatively impact the price of our debt and other securities. As a result, it cannot be assured that the Actavis Generics acquisition will result in the realization of the full benefits anticipated from such transaction.",,,,,,N/A
1,1,RISK FACTORS,1.1,Risks Related to the Actavis Generics Acquisition,1.1.3,"As a result of this offering and other contemplated financings in connection with the Actavis Generics acquisition, we will have a substantially higher level of indebtedness, which will increase our expenses and could adversely affect our business, including by restricting our ability to engage in additional transactions or incur additional indebtedness or resulting in a downgrade or other adverse action with respect to our credit rating.","In connection with the Actavis Generics acquisition, we expect that we will borrow approximately $28 billion through various debt financings, including the notes offered by this offering memorandum. Accordingly, following the completion of the acquisition, giving effect to the incurrence of debt, our consolidated debt is expected to be approximately $38 billion. As a result, our borrowing costs will increase significantly. This substantial level of debt could have important consequences to our business, including, but not limited to: - reducing the benefits we expect to receive from the Actavis Generics acquisition; - making it more difficult for us to satisfy our obligations; - limiting our ability to borrow additional funds and increasing the cost of any such borrowing; - increasing our vulnerability to, and reducing our flexibility to respond to, general adverse economic and industry conditions; 11 ----- - limiting our flexibility in planning for, or reacting to, changes in our business and the industry in which we operate; - placing us at a competitive disadvantage as compared to our competitors, to the extent that they are not as highly leveraged; and - restricting us from pursuing certain business opportunities.",,,,,,N/A
1,1,RISK FACTORS,1.1,Risks Related to the Actavis Generics Acquisition,1.1.4,We expect our credit ratings to be downgraded as a result of the Actavis Generics acquisition.,"Our credit ratings impact the cost and availability of future borrowings and, accordingly, our cost of capital. Our ratings at any time will reflect each rating organization’s then opinion of our financial strength, operating performance and ability to meet our debt obligations. Following the announcement of the Actavis Generics acquisition, Standard and Poor’s Financial Services LLC (“S&P”) and Moody’s Investor Service, Inc. (“Moody’s”) downgraded our ratings to BBB and Baa1, respectively. Moody’s is expected to further downgrade our ratings in connection with the consummation of the Actavis Generics acquisition to Baa2 (as it already has with respect to the notes). Any reduction in our credit ratings may limit our ability to borrow at interest rates consistent with the interest rates that have been available to us prior to the Actavis Generics acquisition. If our credit ratings are downgraded or put on watch for a potential downgrade, we may not be able to sell additional debt securities or borrow money in the amounts, at the times or interest rates or upon the more favorable terms and conditions that might be available if our current credit ratings are maintained.",,,,,,N/A
1,1,RISK FACTORS,1.1,Risks Related to the Actavis Generics Acquisition,1.1.5,"We expect that, for a period of time following the consummation of the Actavis Generics acquisition, we will have significantly less cash on hand than prior to the closing. This reduced amount of cash could adversely affect our ability to grow.","We are expected to have, for a period of time following the consummation of the Actavis Generics acquisition, significantly less cash and cash equivalents on hand than the approximately $6.0 billion of cash and cash equivalents that we had as of March 31, 2016. Although our management believes that we will have access to cash sufficient to meet our business objectives and capital needs, the lessened availability of cash and cash equivalents for a period of time following the consummation of the Actavis Generics acquisition could constrain our ability to grow our business. Our more leveraged financial position following the Actavis Generics acquisition could also make us vulnerable to general economic downturns and industry conditions, and place us at a competitive disadvantage relative to our competitors that have more cash at their disposal. In the event that we do not have adequate capital to maintain or develop our business, additional capital may not be available to us on a timely basis, on favorable terms, or at all.",,,,,,N/A
1,1,RISK FACTORS,1.1,Risks Related to the Actavis Generics Acquisition,1.1.6,The Master Purchase Agreement may be terminated in accordance with its terms and the Actavis Generics acquisition may not be completed.,"The Master Purchase Agreement contains a number of conditions that must be fulfilled to complete the acquisition. Those conditions primarily consist of EU antitrust approval (which has been obtained), U.S. antitrust approval and other customary conditions, including, among others, (i) the accuracy of representations and warranties and compliance with covenants and (ii) the absence of any material adverse effect with respect to Actavis Generics or Teva. The Master Purchase Agreement contains certain customary termination rights, including, among others, the right of either party to terminate the Master Purchase Agreement if the closing has not occurred by October 26, 2016. While we intend to use the proceeds of this offering to fund the Actavis Generics acquisition, this offering is not contingent on the completion of the Actavis Generics acquisition. In addition, if the Master Purchase Agreement is terminated in specified circumstances, certain termination fees become payable. 12 ----- If the closing of the Actavis Generics acquisition does not occur on or prior to October 26, 2016, or if the Master Purchase Agreement is terminated at any time prior thereto, the notes will be subject to a special mandatory redemption at a redemption price equal to 101% of the aggregate principal amount of the notes being redeemed, plus accrued and unpaid interest, if any, from the date of initial issuance of the notes up to, but not including, the special redemption date, as defined under “Description of the Notes and the Guarantees—Special Mandatory Redemption.” See “—Risks Related to the Notes—If the closing of the Actavis Generics acquisition _does not occur on or prior to October 26, 2016, or if the Master Purchase Agreement is terminated at any time prior thereto, you may not obtain your expected return on the notes.”_",,,,,,N/A
1,1,RISK FACTORS,1.1,Risks Related to the Actavis Generics Acquisition,1.1.7,"Teva and Allergan must obtain U.S. antitrust approval to consummate the Actavis Generics acquisition, which if delayed or not granted or granted with unacceptable conditions, may prevent, delay or jeopardize the consummation of the transaction, result in additional expenditures of money and resources and/or reduce the anticipated benefits of the transaction.","Consummation of the Actavis Generics acquisition requires approval by the FTC, which has broad discretion in administering the governing regulations. We can provide no assurance that the required U.S. antitrust approval will be obtained. Moreover, as a condition to its approval of the transaction, the FTC has required various divestitures and may impose additional requirements, limitations or costs, further divestitures and/or place restrictions on the conduct of the business of the combined company after the closing of the acquisition. Any one of these requirements, limitations, costs, divestitures or restrictions may delay the effective time of the acquisition and may reduce the anticipated benefits of the transaction. In addition, if the Master Purchase Agreement is terminated under certain circumstances by Allergan or Teva due to failure to obtain necessary U.S. antitrust approvals, then we must pay Allergan $1 billion. In addition, as described above, the notes are subject to a special mandatory redemption. See “—Risks Related to the Notes—If the closing of the _Actavis Generics acquisition does not occur on or prior to October 26, 2016, or if the Master Purchase Agreement is terminated at any time prior thereto, you may not obtain your expected return on the notes” and_ “Description of the Notes and the Guarantees—Special Mandatory Redemption.” In connection with the closing of the Actavis Generics acquisition, due to regulatory requirements, Teva expects to divest products with aggregate revenues in 2015 of approximately $1.1 billion.",,,,,,N/A
1,1,RISK FACTORS,1.1,Risks Related to the Actavis Generics Acquisition,1.1.8,We will incur direct and indirect costs as a result of the Actavis Generics acquisition.,"We will incur substantial expenses in connection with and as a result of completing the Actavis Generics acquisition and, over a period of time following the completion of the Actavis Generics acquisition, we further expect to incur substantial expenses in connection with coordinating our businesses, operations, policies and procedures with that of Actavis Generics. While we have assumed that a certain level of transaction expenses will be incurred, factors beyond our control could affect the total amount or the timing of these expenses. Many of the expenses that will be incurred, by their nature, are difficult to estimate accurately.",,,,,,N/A
1,1,RISK FACTORS,1.2,Risks Related to Teva,1.2.1,Our success depends on our ability to develop and commercialize additional pharmaceutical products.,"Our financial results depend upon our ability to develop and commercialize additional generic and specialty pharmaceutical products, particularly after the expiration of our patents covering the 20mg/mL version of our leading specialty medicine, Copaxone[®], and patent challenges and expirations facing the 40mg/mL version of Copaxone[®] and certain of our other specialty medicines. Commercialization requires that we successfully develop, test and manufacture both generic and specialty products. All of our products must receive 13 ----- regulatory approval and meet (and continue to comply with) regulatory and safety standards; if health or safety concerns arise with respect to a product, we may be forced to withdraw it from the market. The development and commercialization process, particularly with respect to specialty medicines as well as the complex generic medicines that we are increasingly focusing on, is both time-consuming and costly and involves a high degree of business risk. Our products currently under development, if and when fully developed and tested, may not perform as we expect. Necessary regulatory approvals may not be obtained in a timely manner, if at all, and we may not be able to produce and market such products successfully and profitably. Delays in any part of the process or our inability to obtain regulatory approval of our products could adversely affect our operating results by restricting or delaying our introduction of new products.",,,,,,N/A
1,1,RISK FACTORS,1.2,Risks Related to Teva,1.2.2,"Our leading specialty medicine, Copaxone[®], faces increasing competition, including from orally- administered therapies and a competing generic version.","Any substantial decrease in the revenues derived from our specialty medicines would have an adverse effect on our results of operations, several of which currently face, or will soon face, intense competition. Our multiple sclerosis franchise includes our Copaxone[®] products and laquinimod (a developmental compound for the treatment of MS). The profitability of our multiple sclerosis franchise reflects Copaxone[®] revenues less cost of goods sold and selling and marketing (“S&M”) and R&D expenses related to our MS franchise. It does not include G&A expenses, amortization and non-recurring items. Our MS franchise profitability was $3.1 billion, $3.2 billion, and $3.3 billion in 2015, 2014 and 2013, respectively. Profitability of our multiple sclerosis franchise as a percentage of Copaxone[®] revenues was 77%, 75% and 76% in 2015, 2014 and 2013, respectively. Although Copaxone[®] remains the leading therapy for multiple sclerosis to date, the market for MS treatments continues to change significantly as a result of new and emerging therapies. In particular, the increasing number of oral treatments, such as Tecfidera[®] by Biogen, Gilenya[®] by Novartis, and Aubagio[®] by Genzyme, continue to present significant and increasing competition. The new oral treatments provide especially intense competition in light of their substantial convenience in comparison to injectables such as Copaxone[®]. As our U.S. Orange Book patents on Copaxone[®] 20mg/mL have expired, a competing generic version of this product was launched in the United States in June 2015. Copaxone[®] also continues to face competition from existing injectable products, such as the four beta-interferons Avonex[®], Betaseron[®], Extavia[®] and Rebif[®], as well as from the two monoclonal antibodies Tysabri[®] and Lemtrada[®]. Our business strategy for Copaxone[®] relies heavily on the continued migration of a substantial percentage of current daily Copaxone[®] patients to a new 40mg/mL, three-times-a-week version and the maintenance of patients on this new version. Four of our U.S. Orange Book patents for this new version are being challenged as well. The failure to achieve and maintain our objectives for Copaxone[®] 40mg/mL would likely have a material adverse effect on our financial results and cash flow.",,,,,,N/A
